scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s017,80,7.1640,discrete_only,discrete_only,2,true,,1093.079623408311,6.018215361371381,1.1972,17.7,1.1276,13222,1093.08,"[5.767, 6.0182]","[5.767, 6.0182]",6.018215361371381
s017,70,6.2685,discrete_only,discrete_only,2,true,,1093.079623408311,6.018215361371381,1.1972,17.6,1.1249,13222,1093.08,"[5.767, 6.0182]","[5.767, 6.0182]",6.018215361371381
s017,60,5.3730,discrete_only,discrete_only,2,true,,1452.559790205681,3.984008188625766,1.5909,49.6,3.1679,546767,1452.56,"[3.3888, 3.984]","[3.3888, 3.984]",3.984008188625766
s017,50,4.4775,discrete_only,discrete_only,2,true,,1452.559790205681,3.984008188625766,1.5909,50.0,3.1953,546767,1452.56,"[3.3888, 3.984]","[3.3888, 3.984]",3.984008188625766
s017,40,3.5820,discrete_only,discrete_only,2,false,unc_violated,1452.559790205681,3.984008188625766,,76.4,4.8795,1000000,1452.56,"[3.3888, 3.984]","[3.3888, 3.984]",3.984008188625766
s017,30,2.6865,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s018,100,11.0562,discrete_only,discrete_only,2,true,,1004.2015064666963,7.220128637678232,1.1144,16.6,1.0595,679,1004.202,"[1.1213, 7.2201]","[1.1213, 7.2201]",7.220128637678232
s018,90,9.9506,discrete_only,discrete_only,2,true,,1004.2015064666963,7.220128637678232,1.1144,16.7,1.0611,679,1004.202,"[1.1213, 7.2201]","[1.1213, 7.2201]",7.220128637678232
s018,80,8.8450,discrete_only,discrete_only,2,true,,1004.2015064666963,7.220128637678232,1.1144,16.8,1.0683,679,1004.202,"[1.1213, 7.2201]","[1.1213, 7.2201]",7.220128637678232
s018,70,7.7393,discrete_only,discrete_only,2,true,,1004.2015064666963,7.220128637678232,1.1144,16.6,1.0580,679,1004.202,"[1.1213, 7.2201]","[1.1213, 7.2201]",7.220128637678232
s018,60,6.6337,discrete_only,discrete_only,2,true,,987.6111577735495,4.12875090519145,1.0960,16.6,1.0543,1406,987.611,"[1.3578, 4.1288]","[1.3578, 4.1288]",4.12875090519145
s018,50,5.5281,discrete_only,discrete_only,2,true,,987.6111577735495,4.12875090519145,1.0960,16.7,1.0615,1406,987.611,"[1.3578, 4.1288]","[1.3578, 4.1288]",4.12875090519145
