scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,clgbt_iterations,clgbt_tree_size,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s033,50,2.8337,clgbt,clgbt,2,true,,1363.5700841457408,2.1471730928037545,1.8204,15.1,0.9650,3053,2167,1363.57,"[1.0809, 2.1472]","[1.5965, 2.6159]",2.615914911858504,2.917075730274332e-9,optimized
s033,40,2.2670,clgbt,clgbt,2,false,no_solution,null,null,,465.6,29.7771,200000,91671,null,[],[],null,,
s033,30,1.7002,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s035,100,8.7092,clgbt,clgbt,2,true,,1060.1011051546589,8.522083899388809,1.2184,14.8,0.9505,5985,4885,1060.101,"[8.3373, 8.5221]","[8.455, 8.5327]",8.532733638650727,0.011851052589047992,optimized
s035,90,7.8383,clgbt,clgbt,2,true,,1732.5281082058393,5.520742033308909,1.9912,15.7,1.0088,6880,5554,1732.528,"[4.0926, 5.5207]","[4.0148, 5.5074]",5.507403644825272,3.2502515921739583e-9,optimized
s035,80,6.9674,clgbt,clgbt,2,true,,1730.1638025526697,5.515389811507325,1.9885,15.7,1.0092,6880,5554,1730.164,"[4.0543, 5.5154]","[4.0148, 5.5074]",5.507403644825272,8.76604414057347e-11,optimized
s035,70,6.0964,clgbt,clgbt,2,true,,1736.5789124753992,5.991511232873488,1.9959,16.2,1.0428,6880,5554,1736.579,"[4.0256, 5.9915]","[4.0148, 5.5074]",5.507403644825272,8.822804337810242e-9,optimized
s035,60,5.2255,clgbt,clgbt,2,false,no_solution,null,null,,952.2,61.1398,200000,126593,null,[],[],null,,
s035,50,4.3546,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s035,40,3.4837,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s035,30,2.6128,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s036,100,5.3877,clgbt,clgbt,2,true,,989.4193341494824,5.155484645624892,1.3966,13.9,0.8939,2937,1854,989.419,"[4.901, 5.1555]","[5.0949, 5.2664]",5.266369250849245,1.6906200644622004e-5,optimized
s036,90,4.8489,clgbt,clgbt,2,false,recovery_failed,1356.638845345149,3.830584388906878,,14.8,0.9544,4119,2486,1356.639,"[2.4473, 3.8306]","[3.778, 4.6649]",4.664865630784241,-0.0020132549695995386,recovery_failed
s036,80,4.3101,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s036,70,3.7714,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
